1,次のうち、道路信号に使われていない色はどれ。,赤,青,黒,黄,3
2,次のうち、M-1グランプリで優勝していないコンビはどれ。,ミルクボーイ,マヂカルラブリー,千鳥,アンタッチャブル,3
3,12世紀後半、日宋貿易を行った人物は次の誰。,後醍醐天皇,藤原道長,足利義満,平清盛,4
4,次のうち、テネシーウイスキーはどれ。,ジャック・ダニエル,ジョニー・ウォーカー,ジムビーム,ラフロイグ,1
5,総合格闘技のリングで、グレイシー一族と対戦していない日本人は次の誰。,桜庭和志,石田光洋,中邑真輔,田村潔司,2
2.マルコ・ポーロの「東方見聞録」で「ジパング」と呼ばれていた国はどこ。,ブラジル,日本,インド,中国,2
3,1642年、指導者クロムウェルが中心となり起こった革命はどれ。,フランス革命,清教徒革命,ロシア革命,名誉革命,2
4,京都の金閣寺は何層建て。,一層,二層,三層,四層,3
2,高級牛肉の産地として知られる松阪市がある県はどこ。,兵庫県,山形県,岐阜県,三重県,4
2,蒸留酒「テキーラ」の原産国はどこ。,メキシコ,スペイン,ブラジル,ロシア,1
3,次のうち、武田信玄と上杉謙信の戦いはどれ。,川中島の戦い,長篠の戦い,一ノ谷の戦い,桶狭間の戦い,1
2,次のうち、タイの国技にもなっている格闘技はどれ。,ムエタイ,サンボ,テコンドー,カポエイラ,1
2,鎌倉時代、二度にわたってモンゴルが日本を攻めた事件を何という。,倭寇,元寇,承久の乱,保元の乱,2
4,次の名作映画のうち、最初からカラー作品として作られた映画はどれ。,ローマの休日,カサブランカ,市民ケーン,風と共に去りぬ,4
3,イタリア語で「ちぎる」という意味の名前がついたチーズはどれ。,マスカルポーネ,ゴルゴンゾーラ,モッツアレラ,カマンベール,3
4,次の007作品のうち、ショーン・コネリーが主演でないのはどれ。,ドクター・ノオ,ロシアより愛をこめて,ダイヤモンドは永遠に,死ぬのは奴らだ,4
1,次の都道府県のうち、九州地方でないのはどれ。,福岡県,熊本県,北海道,鹿児島県,3
1,次のうち、The Beatlesのメンバーなのは誰。,ミック・ジャガー,ポール・マッカートニー,スティーヴン・タイラー,カート・コバーン,2
